n_digits;median(ns);min(ns);max(ns)
1126;11997832;11917410;12170979
1127;12045821;22354;12119974
1128;12033222;22579;12096679
1129;12064353;21830;12166132
1130;12073812;11958277;12179606
1131;12091833;22742;12165019
1132;12074903;22214;12252823
1133;12095826;11976830;12156110
1134;12128939;11993609;12195531
1135;11983356;22136;12154910
1136;12145422;11970858;12200220
1137;12469682;22726;12525427
1138;12471025;12280657;12550897
1139;12495684;22799;12562267
1140;12479399;12374379;12553889
1141;12505804;12282518;12698839
1142;12477567;22647;12605966
1143;23390;22097;12579108
1144;12533716;12344426;12697261
1145;12545305;22904;12673812
1146;12554135;22284;12616531
1147;12523630;22235;12671304
1148;12581310;22903;12680316
1149;12595736;12442472;12720893
1150;12616838;23070;12680676
1151;12595898;23116;12702320
1152;12569307;22401;12679420
1153;12548296;22396;12693821
1154;12587869;12413521;12805603
1155;12604165;12426850;12701123
1156;12666188;23137;12827593
1157;13047706;23113;13226957
1158;23311;22661;13228113
1159;13201991;12987473;13418316
1160;13178438;23159;13605528
1161;13178054;23135;13321798
1162;13204814;13057506;13370742
1163;13171511;12963636;13312540
1164;13210856;22363;13311821
1165;13228840;23636;13313346
1166;13278873;23765;13447019
1167;13231426;22545;13347938
1168;13259597;23087;13416540
1169;13244715;22799;13364761
1170;6617504;22814;13346625
1171;13350185;13254250;13409099
1172;24394;23092;13385833
1173;13289226;23143;13546887
1174;13368844;13134739;13554956
1175;13277944;23573;13659204
1176;13883211;23131;14029568
1177;13863212;22977;14023739
1178;13897125;23071;14083789
1179;13912326;22979;14466604
1180;13938910;13754112;14158278
1181;13918443;23034;14146177
1182;13891924;22965;14114798
1183;13950667;23307;14115601
1184;13988637;23180;14112985
1185;13974966;13807665;14069562
1186;13953750;13827453;14144171
1187;24363;23137;14191340
1188;14031520;13840245;14440422
1189;14035175;13894624;14185420
1190;14077071;13921650;14249690
1191;14083903;23517;19384970
1192;14150891;24017;14278468
1193;24718;23451;14263927
1194;14137044;24204;14223777
1195;14455455;23837;14730831
1196;14370194;23562;14711264
1197;14511590;25329;14727234
1198;14486917;23866;14634858
1199;25177;23636;14542968
1200;14533427;14394361;15021803
1201;14523976;14414766;14608519
1202;25471;23800;14552347
1203;14566874;14343477;14721497
1204;14514564;24112;15202075
1205;14549161;23726;15021315
1206;14524749;24417;14662573
1207;14566661;23561;14741205
1208;14559599;24039;14707098
1209;14528334;24124;14733740
1210;14539090;23988;14787151
1211;14523374;23836;14674850
1212;14532246;24213;14755871
1213;14629788;25192;14743028
1214;14636916;24004;14780291
1215;15019940;24079;15532690
1216;15043949;25446;15282844
1217;14994242;23930;15153514
1218;15053876;14877687;15247794
1219;15024472;24043;15333207
1220;15045502;23972;15146425
1221;15070370;24595;15281378
1222;15013518;24002;15170751
1223;15084292;25189;15546221
1224;15082923;14981160;15262972
1225;15140988;24505;15340417
1226;15110887;24337;15306003
1227;15187981;24825;15272695
1228;15194802;15064890;15279731
1229;15190251;15019736;15298144
1230;15180588;15043633;15370941
1231;15219181;24392;15392916
1232;15295105;24679;15479837
1233;15317087;15224960;15653786
1234;15878216;15745861;16388750
1235;15853898;24655;16267899
1236;15737822;25063;16204795
1237;15855516;15693343;16031223
1238;7910568;24320;15928638
1239;15918195;25055;16188907
1240;15885173;25149;16016385
1241;15908835;25025;16007487
1242;15937691;25195;16125352
1243;26640;24337;16009782
1244;15945946;15805829;16100259
1245;25577;24564;16064155
1246;15944194;24775;16100471
1247;15998422;25176;16535294
1248;15969390;15888239;16093450
1249;15945789;24992;16146083
1250;16051236;25601;16276278
1251;16063750;15986684;16184956
1252;16031197;15870384;16118937
1253;15962286;24756;16157439
1254;16577200;25680;17178422
1255;16497688;24911;16667694
1256;16586809;16482833;16740536
1257;16493888;24885;16751645
1258;16660430;16504264;16799277
1259;16685706;24789;16980501
1260;16683716;25260;16822765
1261;16682550;16563043;16901308
1262;16682112;24839;16819262
1263;16646479;25074;16876381
1264;16632172;25130;16799479
1265;16689433;16556833;16847962
1266;16829990;16674965;23916013
1267;16780015;25622;17101387
1268;16796561;16688261;17072637
1269;16854291;25616;16985259
1270;16826355;16657498;16993501
1271;16871036;25291;17059037
1272;17071435;26081;17270080
1273;17110272;16982529;17268087
1274;17151775;25855;17320627
1275;17141292;25897;17262866
1276;17175828;17010123;17329196
1277;17159140;26920;17411950
1278;17169311;17085012;17295920
1279;17153885;25569;17300277
1280;17137216;17075233;17264818
1281;17132870;26202;17350364
1282;17209647;17081651;17690885
1283;17229114;27051;17401463
1284;17273328;17088408;17348152
1285;17249684;26110;17375270
1286;17276028;17209704;17434448
1287;8591331;25629;17429894
1288;17295288;26842;17852668
1289;17272634;17158762;17441740
1290;17341624;17256428;17424568
1291;17531594;26605;17780723
1292;17599831;17350685;17706936
1293;17584959;17350712;17944673
1294;17633311;17508880;17918113
1295;17676100;26961;17794198
1296;17720727;25981;17820400
1297;17702119;26341;17802349
1298;17693365;27355;17771675
1299;28622;25784;17819114
1300;17697685;25691;18057298
1301;17869737;26575;18403056
1302;17747795;26626;18138892
1303;17810293;26446;18161535
1304;17825181;26855;18183866
1305;17819677;26632;18223673
1306;17843163;27662;18188974
1307;17867575;26980;18229917
1308;17846798;26920;18236820
1309;17834835;26885;18316311
1310;18011409;17886341;18309356
1311;18671465;18508136;18935594
1312;18673026;18533193;18961195
1313;18650076;18496616;18913979
1314;18627214;18533348;19035347
1315;18939528;28693;18984008
1316;18585002;27624;18977239
1317;18552383;27062;18602501
1318;18586240;18552390;18680789
1319;18637591;27303;18706390
1320;18635255;26923;19016199
1321;18651817;27637;19024890
1322;18683597;18611468;19100615
1323;18818115;18631319;19070193
1324;9343716;27188;19051825
1325;20978267;27324;27577841
1326;19599124;18691523;20573051
1327;18763722;27950;18939007
1328;18844415;27952;19249997
1329;18799713;27728;19182436
1330;19553928;27475;19612697
1331;19596268;28900;19699747
1332;19542733;19103916;19626523
1333;19303664;27071;19663779
1334;28870;27288;19722861
1335;28648;27613;19698341
1336;19649919;19241052;19723683
1337;19657032;27759;19743182
1338;19685507;19229680;19804532
1339;19655048;27814;20686244
1340;19600242;28062;19841091
1341;19722944;19286701;19838615
1342;19663999;26891;19839379
1343;19734193;19305323;19877292
1344;19564893;27285;19985642
1345;19742282;28304;19933171
1346;19615802;27685;19851685
1347;19799361;19362690;19920605
1348;19827752;27685;20263103
1349;20161246;20114510;20189999
1350;20160382;28066;20291393
1351;20159097;27713;20358386
1352;20170369;27852;20431351
1353;20205370;27938;20719002
1354;20200898;28186;20289794
1355;19882624;27668;20291254
1356;20243822;28284;20421254
1357;20164452;27733;20306415
1358;20275337;19848903;20480756
1359;9939593;27818;20347756
1360;20307486;19857795;20664788
1361;20324579;19866546;20426119
1362;19951325;28025;20474607
1363;20361914;19877644;20466456
1364;29272;27451;20394077
1365;20342740;19894565;20677823
1366;20388932;27570;20505264
1367;20082574;27948;20565056
1368;20853451;28562;21047567
1369;20863523;28269;20979723
1370;20904229;28356;21118001
1371;20917226;28635;21343113
1372;20959857;20590836;21133526
1373;20888717;28571;20988872
1374;20747285;28248;21018361
1375;20910482;20447274;21045188
1376;21050636;28704;21177384
1377;21011327;20554310;21141184
1378;21075288;20981222;21165109
1379;21004690;28707;29110939
1380;21484810;29399;22626514
1381;21091501;28369;21544212
1382;20610871;28314;21112491
1383;20987513;20564924;21614488
1384;21089781;28637;21539309
1385;20955355;28222;21310216
1386;20982017;20641333;21337504
1387;21148180;28455;21230051
1388;22216058;28864;22691933
1389;22490455;29320;23102148
1390;22312835;22011357;22629766
1391;22425990;21983245;22596941
1392;11074565;28139;22581404
1393;22081661;28648;22564278
1394;22142737;28170;22976856
1395;22367905;22068051;22688837
1396;22427470;22087243;22627638
1397;22634434;22148899;22718773
1398;22617111;28553;22781932
1399;22403930;29192;22702213
1400;22551532;29714;22894804
1401;22637717;29600;22767196
1402;22675265;29055;22806467
1403;22450961;28770;22802037
1404;29524;28437;22747615
1405;11138953;28546;22817891
1406;22749932;22276220;22848001
1407;23408252;29008;23770276
1408;23168013;28707;23643751
1409;23504947;29464;23691664
1410;23604514;29311;23694164
1411;23371091;29233;23725841
1412;23665109;29553;24205071
1413;23626600;29175;23713675
1414;23660794;29392;23844793
1415;23589915;29308;23785699
1416;23424952;23133511;23871790
1417;23505534;28802;23851544
1418;23443429;30559;23871748
1419;23278968;29078;23855735
1420;23607003;23283947;23835350
1421;23767797;23263092;24062679
1422;23396387;28706;23912699
1423;23557912;28713;23956146
1424;23580495;28973;23891296
1425;23879103;23386581;24066662
1426;23624010;30324;23779109
1427;23670371;30030;23811231
1428;23597769;30137;24084451
1429;23630277;23594129;23730285
1430;24308352;23061608;31951073
1431;23596985;30180;24677563
1432;23701483;30329;23828402
1433;24065969;23664925;25028206
1434;25387598;32813;25897836
1435;24779633;32534;25407788
1436;24803709;33331;27779988
1437;26558692;32706;28199060
1438;24920332;33756;26707521
1439;24261422;23765986;24410339
1440;23820888;30094;24323853
1441;23771884;30012;24328113
1442;23821969;30188;23884690
1443;23852725;30018;24409611
1444;24327273;30988;24914388
1445;24006107;23932435;24570956
1446;24452219;31096;24996952
1447;24346354;23821738;24858709
1448;24362189;23802791;24523197
1449;24768760;24106241;25648871
1450;26149544;25506217;26756308
1451;24768213;31646;25856814
1452;24430622;30957;25107731
1453;24979238;31296;25597227
1454;25657389;32769;28071038
1455;26015099;33695;26410085
1456;25226680;34666;26917322
1457;25065370;31594;27122508
1458;25080460;33098;25702061
1459;24580132;30611;25172415
1460;25787604;32229;26673312
1461;25713099;32738;28324031
1462;24603414;31044;25348936
1463;24621010;31626;24787252
1464;25193935;31948;25942839
1465;27228596;33198;27923405
1466;35026;32015;27300008
1467;25978590;31758;26204942
1468;25549945;31714;26277947
1469;25540592;31347;26327828
1470;25466878;30990;25637724
1471;25507633;30958;25659429
1472;25535121;31576;25645913
1473;25552290;24978843;25763942
1474;26108740;25527329;33657751
1475;25499933;30935;25782303
1476;25632843;25118931;25883788
1477;25637020;31075;25717229
1478;25664246;25056174;25780455
1479;25651626;31377;25747366
1480;12553025;30518;26143006
1481;25737602;31742;26322155
1482;25727965;31453;25876943
1483;25692171;30911;25854431
1484;26493922;31618;26663774
1485;26228250;31253;26575708
1486;26398151;30690;26585716
1487;26603822;25995053;28493988
1488;26584869;31576;26745390
1489;26484032;31541;26958821
1490;26646084;32139;26884497
1491;26583983;31443;26762317
1492;13023575;30366;26711736
1493;26629655;25957949;26865553
1494;26738098;26134720;26874947
1495;26447686;31199;26856343
1496;26697252;31728;26850984
1497;26559548;31104;26855597
1498;26251634;30695;26843499
1499;26424455;31527;26907871
1500;26492212;32631;26895896
1501;26777106;26335159;28864818
1502;26442669;31145;26948632
1503;26606380;32061;27026973
1504;23703738;23200141;24194532
1505;23723470;32189;24216248
1506;24065434;23674261;24205532
1507;23729697;31949;24210506
1508;24095156;23701080;34051745
1509;23936482;23754076;24274423
1510;23795002;31868;24283339
1511;23830714;23729578;24254988
1512;24070673;23774904;24294439
1513;11918046;32398;25043732
1514;24330310;23839020;24420778
1515;23846900;32453;24749739
1516;23996217;23840646;24378867
1517;25265146;34546;32995567
1518;24371278;33670;24381035
1519;23978588;31972;24434365
1520;24426378;33434;24951726
1521;23999752;32339;24593914
1522;24155188;33633;25586369
1523;24178630;23736351;24197499
1524;23851263;23736691;24291694
1525;23883547;23758758;24271059
1526;24044745;23788074;24296130
1527;24122451;23730006;24229864
1528;24323964;33670;24353914
1529;24287343;23793864;24305116
1530;24094370;23821917;24321237
1531;24165134;32932;24362986
1532;24036937;33396;24379619
1533;11952007;32705;24343429
1534;24198955;33261;24374719
1535;24096146;33559;24396621
1536;33704;32498;24407441
1537;24423091;23951400;24448817
1538;24444140;34199;24765727
1539;24277204;34538;24458240
1540;24145713;32973;24461752
1541;24006782;32795;24517019
1542;25736878;33073;26079024
1543;25752976;33631;26172897
1544;25786665;33682;27216160
1545;25928652;33427;26168781
1546;26147351;25632252;26372122
1547;25856465;33495;26200610
1548;25732129;33002;26238048
1549;25868067;33555;27064943
1550;25982265;34052;26296326
1551;25739346;32954;26296924
1552;12899414;33498;27378989
1553;25858212;33428;26290691
1554;26279817;25790640;27410123
1555;26125430;25773081;26362235
1556;26123802;33429;26375108
1557;26350750;35728;27541093
1558;26070313;33648;26398077
1559;25933074;33212;27029710
1560;27329341;34936;34930304
1561;26435500;34746;27348499
1562;26477215;34447;27550930
1563;13106496;33606;26767367
1564;26586298;26196869;27720762
1565;26276937;33706;26780715
1566;26363880;33678;26758707
1567;26807272;26230049;26829944
1568;26317904;34057;35347065
1569;26258955;33731;26824187
1570;26347881;33482;26890681
1571;26295553;33410;26854007
1572;26357934;33941;26877202
1573;26387865;33460;26941481
1574;34783;33651;26866253
1575;26410991;34307;26920493
1576;26440667;33910;26988494
1577;13226696;33944;26976638
1578;13223089;34137;26979181
1579;26486368;33938;27016469
1580;26977742;26463200;27014014
1581;26932976;33589;27474000
1582;26944325;33920;27509677
1583;27169374;35100;27547404
1584;26981478;26904450;27496361
1585;35394;34212;27557445
1586;27142141;26982983;27587188
1587;27140947;27001163;27556403
1588;27086818;26999681;27579888
1589;27034934;34036;27628580
1590;27111225;34273;27633603
1591;27095616;26990068;27589939
1592;27131577;27003031;27648943
1593;27244258;27126532;27699708
1594;27163698;34312;27671988
1595;27172566;34443;27743939
1596;27179380;34246;27747379
1597;27229318;34365;27755983
1598;27707668;27161824;27756638
1599;27442318;27185871;27755121
1600;36066;34593;28049142
1601;27501944;34401;28044650
1602;27520561;34564;28045867
1603;27497003;34545;28038297
1604;27653480;34759;40654457
1605;28419468;36686;30966008
1606;27595188;27474887;28105580
1607;27644845;27535641;28150009
1608;27710315;27537517;28157537
1609;36463;34216;28110833
1610;27644313;34499;28190799
1611;27973937;27648029;28240261
1612;35455;34652;28205856
1613;27757385;34839;28242695
1614;27747770;34587;28266864
1615;27900210;35753;28276417
1616;27667599;35112;28226302
1617;27799711;35542;28290318
1618;28224659;27781742;28336271
1619;28642414;35148;29101034
1620;28691048;35730;29208560
1621;28791501;35668;29220797
1622;28895657;28669918;29275831
1623;28778880;28629824;29232508
1624;28808229;28607509;31424470
1625;28974121;28669435;29308747
1626;28889373;28686239;29325992
1627;29143806;28809305;29366622
1628;28933959;36645;29345922
1629;29378292;36386;29406295
1630;29279790;28782003;29391657
1631;29385935;36972;29439881
1632;28950460;35837;29476397
1633;29352942;36323;29494225
1634;28909440;36671;29465686
1635;29141484;35520;29495702
1636;29297282;28900781;29519803
1637;29135078;36357;29524644
1638;29621936;29258599;29837176
1639;29853048;35745;29915833
1640;29383124;35971;29848853
1641;29346422;35544;29867564
1642;30674562;38297;42053784
1643;29315130;36221;30409667
1644;29513888;36116;29928494
1645;29802289;29362609;29997720
1646;29674452;35596;30006749
1647;29586520;29373055;30003275
1648;29675889;36349;30004545
1649;29572496;35761;29973815
1650;30016121;29544691;30048503
1651;30000064;29417252;30576996
1652;30112890;29558413;30227487
1653;29764289;29444362;30101872
1654;29918317;37955;30246108
1655;30090460;29550790;30326900
1656;29631722;36485;30184943
1657;30179583;36620;30501692
1658;30233243;36345;31073137
1659;30323300;39038;30799893
1660;30542915;36950;30839838
1661;30408031;37284;30794858
1662;30199917;36218;30870332
1663;30383344;37026;30878632
1664;37803;36535;31043527
1665;30474696;37624;30941310
1666;30369340;30193440;30961044
1667;30645655;30262975;30954829
1668;30948713;36816;31045396
1669;30337460;36777;30969923
1670;15212037;36495;31063904
1671;30358563;36615;31001282
1672;30711618;30374422;31049607
1673;30497480;36896;31245915
1674;30626055;37226;31159977
1675;31060507;37863;31499372
1676;31055440;30532226;31188510
1677;31106878;37618;31446433
1678;31534989;30894126;38598203
1679;31560513;38899;32356898
1680;31054694;37151;31669832
1681;31063818;37168;31632521
1682;31438923;30899921;31726380
1683;31238400;38857;31706186
1684;31470545;39428;31741009
1685;31017533;37787;31645891
1686;30991831;37696;34817168
1687;31070022;37270;33645160
1688;31435202;30991212;31646960
1689;31138190;36883;32390734
1690;31271147;37247;31680496
1691;31643366;31126567;31773985
1692;31397190;31065258;31743909
1693;31496825;31041777;31711603
1694;31255988;36845;31805627
1695;31273498;37538;31787144
1696;33132774;36943;46523099
1697;33064572;37504;33625769
1698;32958192;37363;33593783
1699;33066503;32939235;33645370
1700;33048973;37395;33654059
1701;38012;36624;33672685
1702;33193818;32962465;33665600
1703;33215401;37547;33766475
1704;33126934;37365;33782429
1705;33131481;37640;33755568
1706;33160816;38974;33768283
1707;33320447;33117457;33849797
1708;33201119;37581;33798908
1709;33237736;38747;33851033
1710;33202091;38068;33832627
1711;33258927;37696;33891913
1712;34807369;39973;43328398
1713;33508846;38404;34108789
1714;33778864;33380970;34535834
1715;34382748;33840500;36059937
1716;33970360;33813980;34966419
1717;34328633;39409;38107064
1718;37966493;37548547;39187042
1719;37578911;41047;41785992
1720;34898372;34584894;38149638
1721;34593676;39649;35538269
1722;34597338;39246;36669002
1723;36322687;34493225;37750076
1724;34428741;33848656;34998732
1725;34561824;33881694;34906411
1726;34695292;39492;35290945
1727;34431726;33855856;35150647
1728;34398263;39030;34831316
1729;34483904;38877;34885497
1730;33991262;38053;34642636
1731;17027843;38007;34747930
1732;34502013;40129;34893204
1733;34099352;38345;34814407
1734;34559708;33983139;34934280
1735;34802247;42588;35488734
1736;34612377;37855;35270918
1737;34789244;38594;35486597
1738;41452;39687;35805831
1739;40026;38345;35429594
1740;41742;39369;35502057
1741;35190471;34836137;36125593
1742;35159372;34767469;46229832
1743;35530349;41090;41411914
1744;35398667;41882;36504307
1745;35247910;40785;35766355
1746;35068485;34810973;35911843
1748;35185562;38590;35521367
1749;35522109;39571;35556131
1750;35499491;40316;36357226
1751;35588689;35572479;36432778
1752;40564;39077;35884806
1753;35575160;35565102;36425476
1754;35885169;39908;36009630
1755;35878716;35867550;35943117
1756;35929090;40295;35938993
1757;36024586;40564;36765335
1758;36043662;35389290;36846919
1759;40743;39360;36113563
1760;36026155;35599895;36131561
1761;36013978;35451302;36035116
1762;36074716;40664;36201186
1763;36099060;40642;36233306
1764;36026652;39895;36049926
1765;36131332;36103175;36997904
1766;36135554;40985;37003325
1767;36162052;41727;37001166
1768;36187027;39685;37053457
1769;36242969;39968;37118999
1770;36243008;40639;37097436
1771;36301586;40408;36449452
1772;36099082;39757;36403815
1773;36434531;40962;45138792
1774;37440606;42094;39481161
1775;37526271;40961;37666876
1776;37478795;40565;37504992
1777;37445365;40484;37527166
1778;37533228;37522197;38561556
1779;18817015;40795;37619741
1780;37596718;41030;37618720
1781;41139;40444;37661424
1782;37649140;40547;37771110
1783;36982858;40315;37733608
1784;36875534;39891;37611504
1785;37448594;40826;37775751
1786;37137523;39559;37719536
1787;37158528;39842;37742117
1788;41213;39499;37790365
1789;37309596;39772;37761846
1790;37113410;40150;37747759
1791;37576446;39699;37839935
1792;41292;40006;37675709
1793;38188880;37691682;38360622
1794;37748658;39768;38282347
1795;38106391;37689035;38351220
1796;37739179;39900;39599152
1797;38224310;40778;39473608
1798;38106147;42201;42503641
1799;38141568;42189;40165337
1800;38132758;40186;38507245
1801;37879954;40245;52062641
1802;38241055;37828165;39163592
1803;37879157;41658;38972785
1804;38109491;41826;48078131
1805;19379340;41473;41924911
1806;38088851;41567;39573396
1807;38013775;40580;38685751
1808;38020799;40414;38735423
1809;38265717;41518;38759155
1810;38428503;41273;38772868
1811;38113766;39746;38708725
1812;38718207;40796;39331578
1813;38767858;41296;39239025
1814;38958327;41982;39395659
1815;38784030;38491399;39346961
1816;38696257;40318;39384851
1817;38861216;41424;39374826
1818;38701336;40263;39410486
1819;39028912;38694670;39375404
1820;42679;40819;39488222
1821;38883618;41259;39418490
1822;38903041;40563;39534860
1823;39148534;38748784;39526049
1824;38850215;40755;39507001
1825;38875487;41426;39704664
1826;38942256;40680;39585064
1827;38946724;41535;39559208
1828;39192164;41215;39617983
1829;39194840;38846722;39607074
1830;39243710;38874901;39619324
1831;39595803;39315702;40209696
1832;39716742;39326131;40142822
1833;39576424;41299;40148759
1834;40264331;39431372;49211708
1835;39749932;39465875;40338640
1836;39464475;41855;40277749
1837;39668166;41463;40346538
1838;19791418;41271;40299073
1839;39674645;41686;41323237
1840;40306860;39427748;40642611
1841;39543532;41501;40339549
1842;39840495;39542055;40371224
1843;39787510;39546288;40393439
1844;39771129;41444;40455639
1845;40312303;39591396;40475174
1846;39724956;41386;40439571
1847;19887069;41063;40487662
1848;43237;41834;46558865
1849;40100147;39724749;40517625
1850;42207756;41797;43004586
1851;42163729;41646;42955182
1852;42158984;41290;42943665
1853;42570314;42220825;45014414
1854;42308100;41884;43029409
1855;42376102;42066;43063738
1856;42701042;42183342;43132322
1857;43379;41460;43089183
1858;42726077;42121;43126805
1859;42367788;42017;43157217
1860;42513542;41443;43186400
1861;42364367;42314;43187892
1862;42466742;41725;43225665
1863;43319604;42536733;53727033
1864;43151570;42435249;43346791
1865;43142102;43247;43303204
1866;42658698;42363249;43298442
1867;42520642;43760;54249839
1868;49498621;48081;74248490
1869;43453357;43297;47282587
1870;43203715;43087;43955525
1871;43390;41997;43926337
1872;43286395;43024879;43977193
1873;43272695;42220;45112202
1874;43231388;42636;44204228
1875;43493438;44878;44275249
1876;43845987;43234;45060275
1877;43383551;43234;44348239
1878;43822133;43144;44183293
1879;43916;42174;44188065
1880;44016196;43335881;44158194
1881;21658554;42277;44148253
1882;43646143;47267;44176707
1883;43750482;43319753;44260645
1884;43346574;42194;44288963
1885;44249468;43433;44377680
1886;44304006;64785;46471435
1887;43743973;43496532;44438209
1888;43805154;42751;53894060
1889;44294894;43918509;44901059
1890;44432698;43685;46186181
1891;45947703;44091845;49089052
1892;44942125;44427;49495658
1893;48335613;53191;56197070
1894;45104266;45270;47130667
1895;44944689;45036;53077992
1896;45141473;44193483;50804862
1897;44542694;43745;45069771
1898;44321710;43176;45096255
1899;22289646;44055;45162494
1900;44894627;44342056;45144361
1901;44361437;42923;45188406
1902;44944;43708;45164409
1903;44630751;44262553;45196023
1904;44437631;42848;45245930
1905;44882705;44394702;45278306
1906;44875;43118;45287532
1907;44816231;44392159;45317623
1908;45095994;43500;45713236
1909;45237070;44825073;45805195
1910;45298448;44386;45856688
1911;45491620;44858230;46045693
1912;22536067;42943;45861158
1913;45897883;45128397;58149988
1914;45502466;44237;45857870
1915;44949982;43632;45908992
1916;45092178;42790;45872722
1917;45273309;43597;45989315
1918;45131489;43100;45974422
1919;45355576;44036;46754247
1920;45170007;44657;47039991
1921;45395593;44978787;45995144
1922;45293199;43799;46346031
1923;45287187;43494;46530141
1924;45666803;45121358;46857525
1925;45645601;45105886;47283458
1926;45650571;45125079;46990293
1927;45302271;43902;46771431
1928;46264579;43707;47360971
1929;46291045;44035;47815019
1930;46585422;44659;47327232
1931;47208952;46375944;48133000
1932;47200665;44891;48533754
1933;46445122;44271;47310153
1934;46525683;44096;47292350
1935;45586;44085;47856307
1936;46804997;46558166;47525397
1937;46679809;44735;61351638
1938;47390198;45519;51874829
1939;46784427;44047;47393406
1940;46710103;44284;47494527
1941;46826052;44529;47492676
1942;46999234;46537282;47482441
1943;46613810;44660;47539658
1944;46997509;46598779;47659097
1945;46974886;44938;47521957
1946;47128249;44621;47623378
1947;47943225;47129974;48168950
1948;47616560;47284763;48173480
1949;49005;44870;48197036
1950;47504263;47185122;48230059
1951;47649780;44596;48794543
1952;47482563;44868;48165452
1953;47483034;44114;48223834
1954;47665072;47340640;48405193
1955;47507761;47256854;48311138
1956;47715891;44636;48295481
1957;47604299;45190;48508879
1958;47615063;44221;48454648
1959;47754371;44781;48443849
1960;48074452;47411464;57406174
1961;48484209;47534972;51985172
1962;47824551;47492888;48397501
1963;48268832;47625210;48847607
1964;47707803;44967;48480084
1965;48340335;45542;48474786
1966;48394314;45762;49090412
1967;48329366;45671;50333092
1968;48474528;45672;49305926
1969;46348;44966;49216582
1970;48989282;48305674;52616382
1971;48434576;44509;49370190
1972;48583209;48349301;49269447
1973;48593379;44834;49925151
1974;24294589;46119;49303793
1975;48574568;45998;49515414
1976;48959478;48520774;49743089
1977;48801978;48516288;50958913
1978;48943995;48580533;49675934
1979;48797007;48528751;50079496
1980;48961714;50114;50486688
1981;48804132;46467;49521715
1982;48825542;46326;49637561
1983;49622938;45836;59116736
1984;48774773;45232;49601350
1985;49384405;45749;50520553
1986;49960195;49336673;51595866
1987;49770356;46820;50377669
1988;49506495;45438;50556063
1989;49559733;45176;50548328
1990;49850498;49497218;67255026
1991;49868622;45736;64621677
1992;49855969;45933;50496828
1993;49690979;49382555;50483508
1994;49724190;46574;50600568
1995;47399;45742;50345599
1996;49792957;45766;50599447
1997;49712078;45515;50604236
1998;50102338;49709578;50718353
1999;50122174;47578;50717699
2000;50053685;49846059;50802435
2001;49915666;46075;50620163
2002;50762482;49792365;51621510
2003;50322024;46732;51112879
2004;50027114;46918;50745662
2005;50590038;45829;54301732
2006;51562626;46266;64522232
2007;51139488;50526407;51868390
2008;50823144;46416;51736036
2009;51282846;46734;51804850
2010;51250112;50734834;51845424
2011;51181679;50697091;51808155
2012;48218;46579;51830151
2013;50944021;46397;51879668
2014;51829309;50958096;52052862
2015;51570473;46050;55682315
2016;62028;47904;57731510
2017;52062350;48823;55735411
2018;51608271;46802;55183637
2019;55352672;47025;57157957
2020;53675216;48211;61684498
2021;53315923;50975;62873650
2022;52962506;48759;54517931
2023;51430230;47672;52168138
2024;51883887;47281;52628075
2025;52076204;51596542;52688998
2026;52223634;48373;52771333
2027;52416482;47718;54414846
2028;52780325;48197;66463804
2029;52229881;47292;52861684
2030;52227315;51641526;52976553
2031;51767623;47683;52725265
2032;52063419;48039;54203595
2033;52261119;51713141;52803661
2034;52271961;47320;52863271
2035;52609250;51866595;53009087
2036;52144754;47136;53075918
2037;51999533;47084;52943614
2038;52633263;46990;53093418
2039;53051181;51950024;53082994
2040;52371679;46968;53033836
2041;52366825;47537;53053888
2042;52524774;48568;53140294
2043;53379087;48978;55076973
2044;49044;47263;53893016
2045;53420401;52722791;53916973
2046;53130623;47932;53996625
2047;52994479;47503;54007139
2048;53242866;52860468;54031454
2049;53131016;48561;63836212
2050;53963528;49337;54008143
2051;53025096;47611;54363471
2052;53152872;47337;54199892
2053;53311393;53003047;54181699
2054;53459455;52977074;54176938
2055;53154177;47948;54355270
2056;53954282;53152816;54853017
2057;53827690;53085151;54312381
2058;26595792;47214;54162551
2059;53906810;53161951;54349250
2060;53603350;53178884;55410735
2061;54452020;51348;56637180
2062;53676470;53175439;54420534
2063;53647650;48703;54482509
2064;54020216;48680;54773860
2065;53925763;47738;54902641
2066;53739482;48226;54644731
2067;53895314;48434;54912792
2068;54014102;49348;54823028
2069;50027;47570;54927966
2070;54580613;47870;62007331
2071;53907119;48244;54911895
2072;54261676;53763583;54945841
2073;54572167;53837334;55073525
2074;53992940;48307;54955850
2075;54426036;53945909;55072809
2076;54105917;49395;55045857
2077;54177692;48026;55199838
2078;54178103;48647;55029376
2079;54441915;53922409;55104996
2080;54208776;48343;55200053
2081;54624098;54124366;55317032
2082;54408625;48577;55381739
2083;54693914;54154304;55226163
2084;54878742;50438;58287792
2085;54357173;48408;55409080
2086;55027700;50924;61962374
2087;60907380;57414854;62738217
2088;56050150;50724;57653041
2089;55955277;51101;66125017
2090;55472368;49217;57238038
2091;59298366;51220;62487557
2092;55582276;54454237;57351240
2093;55741860;50002;56376223
2094;55679863;50039;55725365
2095;55688571;50271;55717943
2096;55086239;50006;55768350
2097;55236041;54678021;55844824
2098;55463267;54836517;55898511
2099;55201908;50080;55817270
2100;55517835;50429;56040201
2101;56293475;55516731;56668130
2102;56574486;49261;56654510
2103;27764873;48372;56673556
2104;56095979;49477;56843808
2105;56238008;55618908;56811259
2106;56418466;49908;56842650
